COLUNA;TIPO;TAMANHO MÁXIMO;PRECISÃO;ESCALA
ANO ADESAO;varchar;40;0;0
CODIGO DA ESCOLA;int;4;10;0
CODIGO SITUACAO ESCOLA;int;4;10;0
CODIGO DA REDE DE ENSINO;int;4;10;0
NOME DA REDE DE ENSINO;varchar;50;0;0
CODIGO DA REGIAO DE ENSINO;int;4;10;0
CODIGO DE SUPERVISAO DA ESCOLA NA DIRETORIA DE ENSINO;int;4;10;0
CODIGO DA DIRETORIA DE ENSINO;int;4;10;0
CODIGO DE DIRETORIA;int;4;10;0
NOME DA DIRETORIA DE ENSINO;varchar;60;0;0
DIRETORIA REGIONAL DE EDUCACAO;varchar;60;0;0
CODIGO DO DISTRITO;int;4;10;0
NOME DO DISTRITO;varchar;40;0;0
CODIGO DO MUNICIPIO;int;4;10;0
NOME DO MUNICIPIO;varchar;40;0;0
TIPO DE ESCOLA;int;4;10;0
DESCRICAO TIPO  ESCOLA;varchar;;;
CODIGO DA UNIDADE ADMINISTRATIVA;int;4;10;0
CODIGO INEP DA ESCOLA;int;4;10;0
CODIGO DA ESCOLA;int;4;10;0
NOME DA ESCOLA;varchar;100;0;0
ENDEREÇO;varchar;200;0;0
NUMERO DO ENDEREÇO;varchar;10;0;0
COMPLEMENTO DO ENDERECO;varchar;60;0;0
BAIRRO;varchar;100;0;0
CODIGO DO CEP;varchar;5;0;0
COMPLEMENTO DO CEP;varchar;3;0;0
DDD;varchar;2;0;0
FONE1;varchar;10;0;0
FONE2;varchar;10;0;0
EMAIL;varchar;100;0;0
CODIGO DA ZONA;int;4;10;0
DESCRICAO_ ZONA;varchar;;;
DS_LONGITUDE;float;8;53;0
DS_LATITUDE;float;8;53;0
CARGA HORARIA ;int;4;10;0
