ANO_ADESAO;COD_ESC;CODSIT;DEPADM;NOMEDEP;CODREG;CHAVE;CDREDE;COD_DIR;DE;DRE;CODDIST;DISTR;CODMUN;MUN;TIPOESC;DESCRICAO_TIPO_ESCOLA;COD_UNID_ADM;CODESCMEC;CODESC;NOMESC;ENDESC;NUMESC;COMPLEND;BAIESC;CODCEP;COMPCEP;DDD;FONE1;FONE2;EMAIL;ZONA;DESCRICAO_ZONA;DS_LONGITUDE;DS_LATITUDE;CARGA_HORARIA
2022;31045;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;2;ADAMANTINA;150;ADAMANTINA;8;EE;44523;35031045;31045;DURVALINO GRION PROF;NOEMIA RAMAZINI DE OLIVEIRA;36;RUA;VILA INDUSTRIAL;17800;000;18;35213366;35213434;E031045A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,0769004821777;-21,6786003112793;9 HORAS
2022;31112;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;2;ADAMANTINA;150;ADAMANTINA;8;EE;44531;35031112;31112;FLEURIDES CAVALLINI MENECHINO PROFA;VITORIO ROMANINI;99;RUA;VILA CICMA;17800;000;18;35212650;35213231;E031112A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,0703392028809;-21,6927700042725;9 HORAS
2020;30806;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;2;ADAMANTINA;150;ADAMANTINA;8;EE;44525;35030806;30806;HELEN KELLER;MARIO OLIVERO;122;RUA;VILA CICMA;17800;000;18;35212492;35215461;E030806A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,0688781738281;-21,6929893493652;9 HORAS
2014;31264;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;144;DRACENA;292;DRACENA;8;EE;44571;35031264;31264;9 DE JULHO;OITO DEZEMBRO;719;RUA;JARDIM VERA CRUZ;17911;254;18;38211813;;E031264A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,5249786376953;-21,4895038604736;9 HORAS
2021;911173;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;144;DRACENA;292;DRACENA;8;EE;79292;35911173;911173;ALFREDO MACHADO;OTO LARA RESENDE;21;RUA;BAIRRO JARDIM BRASILANDIA;17904;160;18;38215063;;E911173A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,5538902282715;-21,4908103942871;9 HORAS
2021;31276;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;144;DRACENA;292;DRACENA;8;EE;44564;35031276;31276;ISAC PEREIRA GARCEZ ENG;VENDRAMIM;92;RUA;CENTRO;17900;057;18;38211131;38215942;E031276A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,531421661377;-21,4846305847168;9 HORAS
2022;30910;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;160;FLORIDA PAULISTA;308;FLORIDA PAULISTA;8;EE;44533;35030910;30910;PERCIO GOMES GONZALES DR;AUGUSTO ROQUE;1254;AVENIDA;CENTRO;17830;000;18;35811065;35811166;E030910A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,1681365966797;-21,6131038665771;7 HORAS
2022;31598;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;208;INUBIA PAULISTA;356;INUBIA PAULISTA;8;EE;44611;35031598;31598;IRALDO ANTONIO MARTINS DE TOLEDO;PEDRO ANTONIO GOMES;502;RUA;CENTRO;17760;000;18;35561245;;E031598A@EDUCACAO.SP.GOV.BR;1;URBANA;-50,9602165222168;-21,7692165374756;9 HORAS
2022;30958;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;216;IRAPURU;364;IRAPURU;8;EE;44538;35030958;30958;JOSE EDSON MOYSES PROF;ALBERTO GALETI;29;AVENIDA;CENTRO;17880;000;18;38611176;38611378;E030958A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,3547172546387;-21,5672702789307;9 HORAS
2015;31306;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;260;JUNQUEIROPOLIS;408;JUNQUEIROPOLIS;8;EE;44581;35031306;31306;GERALDO PECORARI PROF;DUQUE DE CAXIAS;151;PRACA;CENTRO;17890;000;18;38411333;38413221;E031306A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,4396095275879;-21,5152606964111;9 HORAS
2022;31525;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;260;JUNQUEIROPOLIS;408;JUNQUEIROPOLIS;8;EE;44577;35031525;31525;IDENE RODRIGUES DOS SANTOS PROF;AVENIDA CAMPOS SALLES;899;;CENTRO;17890;000;18;38411530;38411628;E031525A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,4282531738281;-21,5121059417725;7 HORAS
2021;30788;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;274;LUCELIA;422;LUCELIA;8;EE;44544;35030788;30788;JOSE FIRPO;INTERNACIONAL;1270;RUA;CENTRO;17780;000;18;35511664;;E030788A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,0141410827637;-21,7273292541504;9 HORAS
2018;578915;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;274;LUCELIA;422;LUCELIA;8;EE;98559;35578915;578915;PROFESSOR CARLOS UMBERTO CARRARA;ANTONIO CHAVARELI;1077;AVENIDA;VILA RANCHARIA;17780;000;18;35511389;;E578915A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,0127105712891;-21,7312297821045;9 HORAS
2022;31471;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;316;MONTE CASTELO;464;MONTE CASTELO;8;EE;44582;35031471;31471;JOAO BERNARDI;CIRO ALVES LEAO;71;;CENTRO;17960;000;18;38551130;;E031471A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,5676002502441;-21,2966003417969;9 HORAS
2022;31422;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;331;NOVA GUATAPORANGA;479;NOVA GUATAPORANGA;8;EE;44585;35031422;31422;JACINTO PERNAS GOMATO;D PEDRO I;50;RUA;CENTRO;17950;000;18;38561244;;E031422A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,6482810974121;-21,3342399597168;9 HORAS
2020;31574;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;346;OSVALDO CRUZ;494;OSVALDO CRUZ;8;EE;44612;35031574;31574;BENJAMIN CONSTANT;MAX WIRTH;550;RUA;CENTRO;17700;000;18;35281279;35284725;E031574A@EDUCACAO.SP.GOV.BR;1;URBANA;-50,8755989074707;-21,793249130249;9 HORAS
2018;31636;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;346;OSVALDO CRUZ;494;OSVALDO CRUZ;8;EE;44614;35031636;31636;DOM BOSCO;LUCAS NOGUEIRA GARCEZ;571;;CENTRO;17700;000;18;35281526;35284707;E031636A@EDUCACAO.SP.GOV.BR;1;URBANA;-50,8786392211914;-21,796350479126;9 HORAS
2022;922584;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;346;OSVALDO CRUZ;494;OSVALDO CRUZ;8;EE;21385;35922584;922584;MARIA APARECIDA LOPES PROFA;DIRCEU CAVALINI;100;RUA;RESIDENCIAL ATHENAS;17700;000;18;35284158;;E922584A@EDUCACAO.SP.GOV.BR;1;URBANA;-50,9008293151855;-21,7659492492676;9 HORAS
2021;31616;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;346;OSVALDO CRUZ;494;OSVALDO CRUZ;8;EE;44617;35031616;31616;OSVALDO MARTINS;RUA EXPEDICIONARIO OCTAVIO PONTELLI;39;RUA;VILA ANA;17700;126;18;35281815;35284727;E031616A@EDUCACAO.SP.GOV.BR;1;URBANA;-50,8705940246582;-21,8010215759277;9 HORAS
