ano,id_escola,ideb,ensino,rede,nota_saeb_matematica,nota_saeb_lingua_portuguesa
2019,35000012,,fundamental,estadual,,
2013,35000024,,fundamental,estadual,,
2005,35000024,,fundamental,estadual,,
2021,35000024,,medio,estadual,,
2023,35000036,,medio,estadual,,
2021,35000036,,medio,estadual,,
2019,35000048,,fundamental,estadual,,
2005,35000048,,fundamental,estadual,,
2005,35000048,,fundamental,estadual,,
2015,35000048,,fundamental,estadual,,
2015,35000048,,fundamental,estadual,,
2013,35000059,,fundamental,estadual,,
2019,35000059,,medio,estadual,,
2017,35000059,,medio,estadual,,
2005,35000115,,fundamental,estadual,,
2005,35000140,,fundamental,estadual,,
2005,35000188,,fundamental,estadual,,
2017,35000197,,medio,estadual,,
2023,35000224,,medio,estadual,,
2021,35000231,,fundamental,estadual,,
2021,35000280,,fundamental,estadual,,
2005,35000292,,fundamental,estadual,,
2019,35000309,,medio,estadual,,
2023,35000309,,fundamental,estadual,,
2017,35000334,,fundamental,estadual,,
2017,35000334,,medio,estadual,,
2021,35000334,,medio,estadual,,
2007,35000358,,fundamental,estadual,,
2019,35000358,,fundamental,estadual,,
2005,35000361,,fundamental,estadual,,
2013,35000371,,fundamental,estadual,,
2017,35000395,,medio,estadual,,
2005,35000395,,fundamental,estadual,,
2021,35000413,,medio,estadual,,
2017,35000462,,medio,estadual,,
2017,35000498,,medio,estadual,,
2015,35000498,,fundamental,estadual,,
2021,35000498,,fundamental,estadual,,
2021,35000536,,medio,estadual,,
2017,35000553,,fundamental,estadual,,
2017,35000577,,fundamental,estadual,,
2023,35000577,,medio,estadual,,
2017,35000589,,fundamental,estadual,,
2023,35000607,,medio,estadual,,
2005,35000619,,fundamental,estadual,,
2015,35000620,,fundamental,estadual,,
2021,35000620,,medio,estadual,,
2019,35000620,,fundamental,estadual,,
2005,35000656,,fundamental,estadual,,
2013,35000656,,fundamental,estadual,,
2005,35000656,,fundamental,estadual,,
2017,35000656,,fundamental,estadual,,
2005,35000693,,fundamental,estadual,,
2021,35000693,,medio,estadual,,
2021,35000723,,medio,estadual,,
2023,35000735,,medio,estadual,,
2021,35000735,,medio,estadual,,
2021,35000747,,fundamental,estadual,,
2017,35000759,,fundamental,estadual,,
2017,35000784,,fundamental,estadual,,
2019,35000802,,fundamental,estadual,,
2017,35000814,,fundamental,estadual,,
2021,35000838,,medio,estadual,,
2017,35000848,,medio,estadual,,
2023,35000875,,medio,estadual,,
2021,35000905,,medio,estadual,,
2019,35000942,,fundamental,estadual,,
2005,35000978,,fundamental,estadual,,
2021,35001004,,medio,estadual,,
2005,35001016,,fundamental,estadual,,
2021,35001041,,medio,estadual,,
2005,35001053,,fundamental,estadual,,
2021,35001089,,fundamental,estadual,,
2021,35001144,,fundamental,estadual,,
2021,35001156,,medio,estadual,,
2019,35001173,,medio,estadual,,
2017,35001193,,medio,estadual,,
2005,35001200,,fundamental,estadual,,
2021,35001235,,fundamental,estadual,,
2017,35001235,,medio,estadual,,
2005,35001284,,fundamental,estadual,,
2005,35001302,,fundamental,estadual,,
2017,35001302,,medio,estadual,,
2005,35001348,,fundamental,estadual,,
2017,35001348,,medio,estadual,,
2021,35001363,,fundamental,estadual,,
2005,35001417,,fundamental,estadual,,
2013,35001417,,fundamental,estadual,,
2021,35001442,,fundamental,estadual,,
2023,35001466,,fundamental,estadual,,
2013,35001478,,fundamental,estadual,,
2005,35001478,,fundamental,estadual,,
2009,35001478,,fundamental,estadual,,
2005,35001485,,fundamental,estadual,,
2005,35001508,,fundamental,estadual,,
2007,35001512,,fundamental,estadual,,
2005,35001521,,fundamental,estadual,,
2021,35001594,,medio,estadual,,
2017,35001600,,medio,estadual,,
2017,35001659,,medio,estadual,,
2021,35001659,,medio,estadual,,
2005,35001661,,fundamental,estadual,,
2017,35001673,,fundamental,estadual,,
2021,35001685,,fundamental,estadual,,
2017,35001697,,fundamental,estadual,,
2017,35001703,,medio,estadual,,
2023,35001740,,medio,estadual,,
2005,35001752,,fundamental,estadual,,
2017,35001776,,medio,estadual,,
2005,35001788,,fundamental,estadual,,
2013,35001797,,fundamental,estadual,,
2021,35001797,,medio,estadual,,
2021,35001843,,medio,estadual,,
2005,35001892,,fundamental,estadual,,
2023,35001909,,fundamental,estadual,,
2005,35001922,,fundamental,estadual,,
2023,35001934,,medio,estadual,,
2021,35001961,,medio,estadual,,
2017,35001961,,medio,estadual,,
2021,35001971,,fundamental,estadual,,
2005,35002045,,fundamental,estadual,,
2021,35002069,,fundamental,estadual,,
2021,35002069,,medio,estadual,,
2005,35002082,,fundamental,estadual,,
2005,35002124,,fundamental,estadual,,
2021,35002136,,medio,estadual,,
2005,35002148,,fundamental,estadual,,
2017,35002148,,fundamental,estadual,,
2021,35002148,,medio,estadual,,
